,Country,Code,Cases,latitude,longitude
0,Afghanistan,AFG,263843,33.7680065,66.2385139
1,Albania,ALB,626,11.24488255,-72.5160988094
2,Algeria,DZA,12729,28.0000272,2.9999825
3,Angola,AGO,191036,-11.8775768,17.5691241
4,Argentina,ARG,4550,-34.9964963,-64.9672817
5,Armenia,ARM,25,4.4922673,-75.7396253904
6,Australia,AUS,127,-24.7761086,134.755
7,Austria,AUT,9,47.2000338,13.199959
8,Azerbaijan,AZE,18,40.3936294,47.7872508
9,Bahamas,BHS,2,24.7736546,-78.0000547
10,Bahrain,BHR,1065,35.2078012,72.5473968
11,Bangladesh,BGD,294647,24.4768783,90.2932426
12,Belarus,BLR,6,53.4250605,27.6971358
13,Belgium,BEL,10,50.6407351,4.66696
14,Belize,BLZ,387,16.8259793,-88.7600927
15,Benin,BEN,31581,6.3330586,5.6221058
16,Bhutan,BTN,960,27.549511,90.5119273
17,Bolivia (Plurinational State of),BOL,42548,52.0893477,4.3056907
18,Botswana,BWA,23,-23.1681782,24.5928742
19,Brazil,BRA,173220,-10.3333333,-53.2
20,Brunei Darussalam,BRN,325,4.4137155,114.5653908
21,Burkina Faso,BFA,12707,12.0753083,-1.6880314
22,Burundi,BDI,35219,-3.3634357,29.8870575
23,Cabo Verde,CPV,14144,16.0000552,-24.0083947
24,Cambodia,KHM,17392,13.5066394,104.869423
25,Cameroon,CMR,76422,4.6125522,13.1535811
26,Canada,CAN,81,61.0666922,-107.9917071
27,Central African Republic,CAF,923,25.2183959,55.1752385762
28,Chad,TCD,80846,15.6134137,19.0156172
29,Chile,CHL,180,-31.7613365,-71.3187697
30,China,CHN,86905,25.4915799,-98.9811115046
31,Colombia,COL,36678,2.8894434,-73.783892
32,Comoros,COM,17866,-12.2045176,44.2832964
33,Congo,COG,20166,-0.7264327,15.6419155
34,Costa Rica,CRI,108,10.2735633,-84.0739102
35,Cuba,CUB,739,23.0131338,-80.8328748
36,Côte d'Ivoire,CIV,24303,7.9897371,-5.5679458
37,Denmark,DNK,11,55.670249,10.3333283
38,Djibouti,DJI,19430,11.85677545,42.7577845199
39,Dominican Republic,DOM,33223,19.0974031,-70.3028026
40,Ecuador,ECU,93972,-1.3397668,-79.3666965
41,El Salvador,SLV,31860,13.8000382,-88.9140683
42,Equatorial Guinea,GNQ,6962,1.613172,10.5170357
43,Eritrea,ERI,120,25.22091845,55.1728479503
44,Estonia,EST,2,58.7523778,25.3319078
45,Ethiopia,ETH,118297,10.2116702,38.6521203
46,Finland,FIN,7,63.2467777,25.9209164
47,France,FRA,184,46.603354,1.8883335
48,Gabon,GAB,649,-0.8999695,11.6899699
49,Gambia,GMB,252,13.470062,-15.4900464
50,Georgia,GEO,8,32.3293809,-83.1137366
51,Germany,DEU,70,51.0834196,10.4234469
52,Ghana,GHA,167934,8.0300284,-1.0800271
53,Greece,GRC,2,38.9953683,21.9877132
54,Guatemala,GTM,74430,15.6356088,-89.8988087
55,Guinea,GIN,68305,38.1440893,-77.4391124
56,Guinea-Bissau,GNB,95657,12.100035,-14.9000214
57,Guyana,GUY,642,4.88732,-58.9398798968
58,Haiti,HTI,795794,21.7670269,-78.0947805
59,Honduras,HND,15382,15.0610686,-84.5978534
60,Hungary,HUN,1,47.1817585,19.5060937
61,India,IND,1363250,22.3511148,78.6677428
62,Indonesia,IDN,394945,-4.7993356,114.5632032
63,Iran (Islamic Republic of),IRN,72794,-35.3051349,149.113507574
64,Iraq,IRQ,22763,33.0955793,44.1749775
65,Ireland,IRL,1,52.865196,-7.9794599
66,Israel,ISR,202,30.8760272,35.0015196
67,Italy,ITA,307,42.6384261,12.674297
68,Japan,JPN,1723,36.5748441,139.2394179
69,Jordan,JOR,1595,10.6115886,122.535946336
70,Kazakhstan,KAZ,99,47.2286086,65.2093197
71,Kenya,KEN,118214,1.4419683,38.4313975
72,Kiribati,KIR,1801,0.4483283,-171.6645388
73,Kuwait,KWT,325,-12.0294672,-72.8601102
74,Kyrgyzstan,KGZ,4,41.5089324,74.724091
75,Lao People's Democratic Republic,LAO,18352,20.0171109,103.378253
76,Lebanon,LBN,432,40.3429683,-76.4233816
77,Lesotho,LSO,0,-29.6039267,28.3350193
78,Liberia,LBR,85354,5.7499721,-9.3658524
79,Libya,LBY,1173,26.8234472,18.1236723
80,Madagascar,MDG,46531,-18.78295335,46.7119260933
81,Malawi,MWI,142935,-13.2687204,33.9301963
82,Malaysia,MYS,25466,2.3923759,112.8471939
83,Maldives,MDV,11336,25.2258151,55.1830144241
84,Mali,MLI,33620,16.3700359,-2.2900239
85,Marshall Islands,MHL,300,6.9518742,170.9985095
86,Mauritania,MRT,17765,25.21534785,55.1678255058
87,Mauritius,MUS,0,-20.2759451,57.5703566
88,Mexico,MEX,45781,19.4326009,-99.1333416
89,Micronesia (Federated States of),FSM,3501,38.9073892,-77.0405464
90,Mongolia,MNG,177,46.8250388,103.8499736
91,Morocco,MAR,4644,31.1728192,-7.3366043
92,Mozambique,MOZ,327913,19.058889,-96.254167
93,Myanmar,MMR,38847,17.1750495,95.9999652
94,Namibia,NAM,4342,-23.2335499,17.3231107
95,Nauru,NRU,88,-0.52826955,166.931524225
96,Nepal,NPL,68011,28.1083929,84.0917139
97,Netherlands,NLD,60,52.2379891,5.53460738162
98,New Zealand,NZL,18,-41.5000831,172.8344077
99,Nicaragua,NIC,32442,12.3724928,-84.8700308
100,Niger,NER,40624,17.7356214,9.3238432
101,Nigeria,NGA,310217,9.6000359,7.9999721
102,Norway,NOR,9,64.5731537,11.5280364395
103,Oman,OMN,18,25.22789295,55.1766685145
104,Pakistan,PAK,28301,30.3308401,71.247499
105,Panama,PAN,3636,35.266906,-119.0567707
106,Papua New Guinea,PNG,13782,-5.6816069,144.2489081
107,Paraguay,PRY,12,-23.3165935,-58.1693445
108,Peru,PER,736195,41.3274302,-89.1288762
