,Country,Year,Cases,Code
0,Afghanistan,2016,677,AFG
1,Afghanistan,2015,58064,AFG
2,Afghanistan,2014,45481,AFG
3,Afghanistan,2013,3957,AFG
4,Afghanistan,2012,12,AFG
5,Afghanistan,2011,3733,AFG
6,Afghanistan,2010,2369,AFG
7,Afghanistan,2009,662,AFG
8,Afghanistan,2008,4384,AFG
9,Afghanistan,2005,33,AFG
10,Afghanistan,2003,41,AFG
11,Afghanistan,2002,3,AFG
12,Afghanistan,2001,4499,AFG
13,Afghanistan,2000,4330,AFG
14,Afghanistan,1999,24639,AFG
15,Afghanistan,1998,10000,AFG
16,Afghanistan,1997,4170,AFG
17,Afghanistan,1995,19903,AFG
18,Afghanistan,1994,38735,AFG
19,Afghanistan,1993,37046,AFG
20,Afghanistan,1965,218,AFG
21,Afghanistan,1960,887,AFG
22,Albania,1994,626,ALB
23,Algeria,2006,0,DZA
24,Algeria,2005,0,DZA
25,Algeria,1994,118,DZA
26,Algeria,1992,69,DZA
27,Algeria,1990,1299,DZA
28,Algeria,1989,393,DZA
29,Algeria,1988,699,DZA
30,Algeria,1987,1507,DZA
31,Algeria,1984,45,DZA
32,Algeria,1983,218,DZA
33,Algeria,1980,614,DZA
34,Algeria,1979,2513,DZA
35,Algeria,1978,220,DZA
36,Algeria,1977,262,DZA
37,Algeria,1976,286,DZA
38,Algeria,1975,1165,DZA
39,Algeria,1974,738,DZA
40,Algeria,1973,605,DZA
41,Algeria,1972,646,DZA
42,Algeria,1971,1332,DZA
43,Angola,2016,78,AGO
44,Angola,2014,213,AGO
45,Angola,2013,6655,AGO
46,Angola,2012,1215,AGO
47,Angola,2011,1810,AGO
48,Angola,2010,1484,AGO
49,Angola,2009,2019,AGO
50,Angola,2008,10511,AGO
51,Angola,2007,18422,AGO
52,Angola,2006,67257,AGO
53,Angola,2005,0,AGO
54,Angola,1996,1306,AGO
55,Angola,1995,3295,AGO
56,Angola,1994,3443,AGO
57,Angola,1992,3608,AGO
58,Angola,1991,8590,AGO
59,Angola,1990,9527,AGO
60,Angola,1989,17601,AGO
61,Angola,1988,15500,AGO
62,Angola,1987,16222,AGO
63,Angola,1977,726,AGO
64,Angola,1975,88,AGO
65,Angola,1974,934,AGO
66,Angola,1973,263,AGO
67,Angola,1972,268,AGO
68,Angola,1971,1,AGO
69,Argentina,1998,12,ARG
70,Argentina,1997,637,ARG
71,Argentina,1996,474,ARG
72,Argentina,1995,188,ARG
73,Argentina,1994,889,ARG
74,Argentina,1993,2350,ARG
75,Armenia,1998,25,ARM
76,Australia,2016,1,AUS
77,Australia,2015,2,AUS
78,Australia,2014,2,AUS
79,Australia,2013,3,AUS
80,Australia,2012,5,AUS
81,Australia,2011,6,AUS
82,Australia,2010,3,AUS
83,Australia,2007,3,AUS
84,Australia,2006,3,AUS
85,Australia,2005,2,AUS
86,Australia,2004,2,AUS
87,Australia,2002,5,AUS
88,Australia,2001,2,AUS
89,Australia,2000,1,AUS
90,Australia,1999,4,AUS
91,Australia,1998,5,AUS
92,Australia,1997,2,AUS
93,Australia,1996,2,AUS
94,Australia,1995,5,AUS
95,Australia,1994,3,AUS
96,Australia,1993,5,AUS
97,Australia,1992,3,AUS
98,Australia,1988,1,AUS
99,Australia,1987,1,AUS
100,Australia,1985,2,AUS
101,Australia,1984,1,AUS
102,Australia,1983,4,AUS
103,Australia,1982,1,AUS
104,Australia,1981,2,AUS
105,Australia,1980,2,AUS
106,Australia,1979,1,AUS
107,Australia,1978,1,AUS
108,Australia,1977,2,AUS
109,Australia,1972,40,AUS
110,Austria,2005,1,AUT
111,Austria,2002,1,AUT
112,Austria,2001,0,AUT
113,Austria,1999,1,AUT
114,Austria,1998,1,AUT
115,Austria,1996,1,AUT
116,Austria,1994,1,AUT
117,Austria,1993,1,AUT
118,Austria,1990,2,AUT
119,Azerbaijan,1994,18,AZE
120,Bahamas,2012,1,BHS
121,Bahamas,2011,1,BHS
122,Bahrain,2015,8,BHR
123,Bahrain,1979,39,BHR
124,Bahrain,1978,906,BHR
125,Bahrain,1973,37,BHR
126,Bahrain,1972,74,BHR
127,Bahrain,1965,1,BHR
128,Bangladesh,2000,1021,BGD
129,Bangladesh,1999,3440,BGD
130,Bangladesh,1998,1067,BGD
131,Bangladesh,1997,1959,BGD
132,Bangladesh,1996,418,BGD
133,Bangladesh,1995,2297,BGD
134,Bangladesh,1994,562,BGD
135,Bangladesh,1993,78,BGD
136,Bangladesh,1992,479,BGD
137,Bangladesh,1991,8,BGD
138,Bangladesh,1990,82,BGD
139,Bangladesh,1989,94,BGD
140,Bangladesh,1988,571,BGD
141,Bangladesh,1987,523,BGD
142,Bangladesh,1979,2154,BGD
143,Bangladesh,1978,5576,BGD
144,Bangladesh,1977,10403,BGD
145,Bangladesh,1976,957,BGD
146,Bangladesh,1975,4888,BGD
147,Bangladesh,1974,5614,BGD
148,Bangladesh,1973,1969,BGD
149,Bangladesh,1972,1059,BGD
150,Bangladesh,1971,2342,BGD
151,Bangladesh,1970,7419,BGD
152,Bangladesh,1969,7411,BGD
153,Bangladesh,1968,3156,BGD
154,Bangladesh,1967,664,BGD
155,Bangladesh,1966,3154,BGD
156,Bangladesh,1965,1123,BGD
157,Bangladesh,1964,3333,BGD
158,Bangladesh,1963,3975,BGD
159,Bangladesh,1962,2524,BGD
160,Bangladesh,1961,2663,BGD
161,Bangladesh,1960,15618,BGD
162,Bangladesh,1959,16915,BGD
163,Bangladesh,1958,15631,BGD
164,Bangladesh,1957,8054,BGD
165,Bangladesh,1956,23699,BGD
166,Bangladesh,1955,16642,BGD
167,Bangladesh,1954,15617,BGD
168,Bangladesh,1953,27631,BGD
169,Bangladesh,1952,21154,BGD
170,Bangladesh,1951,20894,BGD
171,Bangladesh,1950,29809,BGD
172,Belarus,1995,3,BLR
173,Belarus,1994,3,BLR
174,Belgium,2005,2,BEL
175,Belgium,2004,1,BEL
176,Belgium,1994,1,BEL
177,Belgium,1993,1,BEL
178,Belgium,1992,1,BEL
179,Belgium,1985,1,BEL
180,Belgium,1984,1,BEL
181,Belgium,1983,1,BEL
